414	546
204	296
204	309
204	23
204	396
204	865
204	929
204	161
204	892
204	903
204	1120
204	942
204	872
204	131
204	598
204	73
1236	916
1236	335
1236	274
1236	379
578	308
578	561
965	460
1169	63
1169	70
1169	1046
1169	607
1169	1200
1169	83
934	225
563	1272
563	101
584	607
23	296
23	309
23	396
23	865
23	929
23	161
23	892
23	903
23	1120
23	942
23	872
23	131
23	598
23	73
1077	397
1077	602
1077	469
1077	565
205	92
205	147
466	118
466	478
441	754
441	207
441	239
815	901
815	919
565	397
565	602
565	469
131	296
131	309
131	396
131	865
131	929
131	161
131	892
131	903
131	1120
131	942
131	872
131	598
131	73
561	308
73	296
73	309
73	396
73	865
73	929
73	161
73	892
73	903
73	1120
73	942
73	872
73	598
916	335
916	274
916	379
388	851
388	973
767	804
767	737
335	274
335	379
607	63
607	70
607	1046
607	1200
607	83
28	1009
1287	435
1287	355
1287	189
1287	95
1287	451
1287	1206
1287	683
1283	219
1283	362
1283	907
1283	741
1048	974
379	274
10	1159
865	296
865	309
865	396
865	929
865	161
865	892
865	903
865	1120
865	942
865	872
865	598
1175	591
1175	1084
1175	35
1175	523
1175	1192
1175	722
1175	1133
1175	104
1175	660
684	1275
161	296
161	309
161	396
161	929
161	892
161	903
161	1120
161	942
161	872
161	598
759	558
712	697
712	252
712	829
712	416
397	602
397	469
469	602
907	219
907	362
907	741
179	853
872	296
872	309
872	396
872	929
872	892
872	903
872	1120
872	942
872	598
659	145
659	423
659	922
1107	1211
70	63
70	1046
70	1200
70	83
478	118
1046	63
1046	1200
1046	83
101	1272
396	296
396	309
396	929
396	892
396	903
396	1120
396	942
396	598
929	296
929	309
929	892
929	903
929	1120
929	942
929	598
1008	778
351	604
351	504
351	175
351	1219
1250	1123
1250	939
1250	288
1250	117
1250	7
1250	1148
1250	506
1250	912
1250	1265
1250	363
1250	981
1250	911
1250	586
1250	567
1250	553
751	1042
208	34
129	410
129	748
129	913
129	158
129	236
472	521
1121	157
523	591
523	1084
523	35
523	1192
523	722
523	1133
523	104
523	660
1219	604
1219	504
1219	175
903	296
903	309
903	892
903	1120
903	942
903	598
967	113
967	983
967	780
497	925
722	591
722	1084
722	35
722	1192
722	1133
722	104
722	660
63	1200
63	83
829	697
829	252
829	416
852	728
852	881
1084	591
1084	35
1084	1192
1084	1133
1084	104
1084	660
780	113
780	983
95	435
95	355
95	189
95	451
95	1206
95	683
683	435
683	355
683	189
683	451
683	1206
1123	939
1123	288
1123	117
1123	7
1123	1148
1123	506
1123	912
1123	1265
1123	363
1123	981
1123	911
1123	586
1123	567
1123	553
754	207
754	239
881	728
1200	83
85	1289
416	697
416	252
104	591
104	35
104	1192
104	1133
104	660
113	983
357	1292
1192	591
1192	35
1192	1133
1192	660
1133	591
1133	35
1133	660
660	591
660	35
84	72
3	159
3	593
3	1115
176	40
697	252
451	435
451	355
451	189
451	1206
912	939
912	288
912	117
912	7
912	1148
912	506
912	1265
912	363
912	981
912	911
912	586
912	567
912	553
209	452
209	51
209	53
209	668
209	560
209	1143
209	682
981	939
981	288
981	117
981	7
981	1148
981	506
981	1265
981	363
981	911
981	586
981	567
981	553
911	939
911	288
911	117
911	7
911	1148
911	506
911	1265
911	363
911	586
911	567
911	553
939	288
939	117
939	7
939	1148
939	506
939	1265
939	363
939	586
939	567
939	553
219	362
219	741
117	288
117	7
117	1148
117	506
117	1265
117	363
117	586
117	567
117	553
1027	406
1027	1078
1027	109
1148	288
1148	7
1148	506
1148	1265
1148	363
1148	586
1148	567
1148	553
506	288
506	7
506	1265
506	363
506	586
506	567
506	553
1265	288
1265	7
1265	363
1265	586
1265	567
1265	553
363	288
363	7
363	586
363	567
363	553
586	288
586	7
586	567
586	553
668	452
668	51
668	53
668	560
668	1143
668	682
616	882
682	452
682	51
682	53
682	560
682	1143
435	355
435	189
435	1206
737	804
674	348
189	355
189	1206
452	51
452	53
452	560
452	1143
109	406
109	1078
1206	355
406	1078
362	741
567	288
567	7
567	553
553	288
553	7
315	1182
1181	58
655	152
655	945
288	7
53	51
53	560
53	1143
1180	883
883	819
610	971
610	671
610	504
671	971
671	504
423	145
423	922
1153	538
175	604
175	504
164	824
504	971
504	604
203	80
922	145
1155	162
1155	1266
1155	736
1155	842
236	410
236	748
236	913
236	158
1108	1232
408	624
159	593
159	1115
593	1115
490	278
413	514
972	657
972	1253
972	1136
972	576
972	752
1120	296
1120	309
1120	892
1120	942
1120	598
892	296
892	309
892	942
892	598
942	296
942	309
942	598
591	35
830	223
499	557
499	856
410	748
410	913
410	158
978	263
239	207
152	945
736	162
736	1266
736	842
570	643
548	461
598	296
598	309
1143	51
1143	560
296	309
92	147
901	919
771	105
748	913
748	158
837	1280
837	463
82	943
1253	657
1253	1136
1253	576
1253	752
896	1074
752	657
752	1136
752	576
1136	657
1136	576
36	300
1056	139
576	657
1060	906
842	162
842	1266
27	1036
1266	162
463	1280
913	158
405	461
194	796
471	488
638	381
719	1055
851	973
51	560
856	557
